Entity,Code,Year,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Retail,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Out-of-home consumption,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Households
United States,USA,2022,11.86,73.72,73.06
United States Virgin Islands,VIR,2019,13.29,26.53,76.69
United States Virgin Islands,VIR,2022,15.14,42.72,88.5
Uruguay,URY,2019,12.94,25.82,74.64
Uruguay,URY,2022,15.05,42.46,87.95
Uzbekistan,UZB,2019,15.64,27.65,91.03
Uzbekistan,UZB,2022,9.68,31.14,85.72
Vanuatu,VUT,2019,15.41,27.24,89.67
Vanuatu,VUT,2022,9.77,31.45,142.89
Vatican,VAT,2022,0,0,0
Venezuela,VEN,2019,15.39,27.21,71.29
Venezuela,VEN,2022,14.4,22.82,92.82
Vietnam,VNM,2019,15.75,27.85,76.71
Vietnam,VNM,2022,44.25,40.34,72.11
Wallis and Futuna,WLF,2022,12.44,19.72,74.49
Western Sahara,ESH,2022,14.5,22.98,140.55
World,OWID_WRL,2019,15.32,31.39,73.77
World,OWID_WRL,2022,16.45,36.34,79.12
Yemen,YEM,2019,14.46,25.56,95.95
Yemen,YEM,2022,25.78,29.62,103.57
Zambia,ZMB,2019,15.2,26.87,75.72
Zambia,ZMB,2022,9.68,31.14,77.93
Zimbabwe,ZWE,2019,14.92,26.37,94.99
